paperID,ref,sampleID,news_family,n,yi,vi
12,Bago_2022,5,politically_discordant,11992,0.8638241125461461,3.646677825807262e-4
64,Guess_2024,1,politically_discordant,2970,0.8851331502538026,0.001478697086477815
56,Garrett_2021,1,politically_concordant,3984,0.8964926826158905,0.0011048819189236742
12,Bago_2022,1,politically_concordant,7984,0.9000344874930972,5.517323446065231e-4
12,Bago_2022,5,politically_concordant,11992,0.9152337204939633,3.6848118592099825e-4
28,Rathje_2023,8,politically_discordant,2820,0.9233814528838423,0.0015696158346684178
56,Garrett_2021,1,politically_discordant,3912,0.9498180567078449,0.0011378009126851059
56,Garrett_2021,1,politically_discordant,4216,0.9791036764379415,0.0010624577809789247
56,Garrett_2021,1,politically_discordant,3064,1.0048368706780813,0.0014702508382301107
27,Sultan_2022,1,politically_discordant,12224,1.0061216173126404,3.686305918203454e-4
56,Garrett_2021,1,politically_discordant,3521,1.019611375809296,0.0012836704569269704
27,Sultan_2022,1,politically_concordant,12224,1.0447605591027938,3.71871916960765e-4
56,Garrett_2021,1,politically_discordant,2988,1.1655974678500043,0.0015660337110204722
56,Garrett_2021,1,politically_discordant,1533,1.1909381238320824,0.0030718635403772605
3,Pennycook_2018,1,politically_discordant,2847,1.4300876491291699,0.00176416415247485
12,Bago_2022,7,politically_discordant,12096,1.4686936140293883,4.1985205571638167e-4
12,Bago_2022,7,politically_concordant,12096,1.5356378843744265,4.2816566269535236e-4
19,Badrinathan_2021,1,politically_concordant,2842,1.5897437029604762,0.001852090964303745
3,Pennycook_2018,1,politically_concordant,2847,1.610201839073346,0.0018603354342387047
19,Badrinathan_2021,1,politically_discordant,2842,2.2330496906215287,0.0022847485786039595
